accX,accY,accZ,gyroX,gyroY,gyroZ,angleX
0.3452,0.8149,1.6479,-37.4146,-1.1597,-18.4937,25.851
0.3286,0.8101,1.6436,-37.7197,0.061,-16.0522,25.494
0.3037,0.793,1.6357,-37.0483,0.7324,-11.7798,25.142
0.2749,0.7705,1.6289,-34.8511,0.7324,-7.3853,24.802
0.2588,0.751,1.6245,-30.7617,-0.1221,-4.4556,24.5
0.2568,0.7432,1.6318,-24.9023,-1.3428,-3.2349,24.258
0.2725,0.748,1.647,-19.3481,-2.1362,-3.0518,24.066
0.2754,0.7466,1.6606,-15.3809,-2.1973,-3.3569,23.917
0.2847,0.7417,1.6572,-8.7891,-3.8452,-2.9297,23.73
0.3018,0.7373,1.6484,-7.1411,-4.8218,-3.0518,23.665
0.3203,0.7383,1.6372,-6.5308,-4.8218,-3.2349,23.665
0.3291,0.7446,1.6304,-6.3477,-3.54,-3.0518,23.549
0.3188,0.7539,1.6323,-5.7373,-2.0142,-2.0752,23.494
0.3047,0.7676,1.6357,-4.0894,-1.2207,-1.2207,23.456
0.3037,0.7803,1.6421,-2.6855,-0.9155,-0.3052,23.434
0.3047,0.7778,1.646,-1.8921,-0.061,-0.1831,23.412
0.2935,0.7651,1.6504,-0.7935,0.3052,-1.0986,23.406
0.2798,0.7437,1.6401,2.6855,-0.7324,-1.9531,23.417
0.291,0.748,1.6338,3.9062,-1.5869,-2.1973,23.45
0.3081,0.7593,1.624,3.7842,-1.5259,-2.5024,23.494
0.3164,0.7705,1.6167,2.8076,-0.7935,-2.3193,23.533
0.313,0.7847,1.6147,1.5259,-0.061,-1.5259,23.566
0.3018,0.791,1.6108,-0.5493,0.1221,-0.2441,23.582
0.2861,0.7817,1.604,-2.0142,-0.4883,0.3662,23.577
0.2715,0.7656,1.6011,-2.2583,-1.8921,0.1221,23.538
0.269,0.75,1.6064,-1.2207,-3.54,-0.1831,23.527
0.2798,0.7373,1.6113,0.4272,-5.127,-0.7935,23.533
0.2954,0.731,1.6162,2.3804,-5.7373,-2.1973,23.566
0.3066,0.7388,1.6201,4.7607,-5.8594,-3.54,23.621
0.3149,0.7578,1.6191,6.2256,-5.3711,-3.6621,23.692
0.3184,0.7744,1.6216,6.2256,-5.127,-2.9297,23.763
0.3159,0.7817,1.624,5.4932,-5.4321,-2.3193,23.824
0.3076,0.7803,1.6235,4.4556,-6.3477,-1.4038,23.873
0.2949,0.771,1.6099,2.8687,-8.4839,-0.4883,23.912
0.2954,0.772,1.6045,3.0518,-10.1318,-0.4883,23.95
0.2993,0.7803,1.6006,2.8687,-11.4746,-0.8545,23.989
0.3032,0.791,1.5996,3.1738,-12.207,-0.9155,24.022
0.3281,0.8047,1.6001,3.1128,-12.2681,-0.9155,24.066
0.3496,0.8179,1.6064,1.4038,-10.6201,-0.6714,24.104
0.3496,0.8179,1.6064,1.4038,-10.6201,-0.6714,24.126
0.3452,0.7773,1.6152,-1.8311,-6.1035,1.4038,24.109
0.3452,0.7773,1.6152,-1.8311,-6.1035,1.4038,24.109
0.2944,0.7441,1.6147,0.1831,-6.3477,1.4038,24.093
0.2822,0.75,1.6099,3.2959,-8.9722,0.9766,24.093
0.2896,0.7695,1.6084,5.3711,-12.2681,0.5493,24.197
0.2939,0.7769,1.6084,7.2632,-15.1367,0.7324,24.28
0.2988,0.7783,1.6069,10.6201,-17.9443,0.9155,24.395
0.3062,0.7896,1.6113,11.4746,-20.0806,1.2207,24.521
0.3149,0.7969,1.6157,12.146,-21.5454,2.3804,24.659
0.3325,0.7983,1.6147,12.146,-22.3389,3.6011,24.791
0.3486,0.7979,1.6118,11.3525,-22.9492,3.3569,24.917
0.3628,0.7939,1.6133,9.6436,-22.0337,2.9297,25.027
0.3672,0.7812,1.6147,8.1787,-20.4468,3.6011,25.12
0.3594,0.7695,1.6162,8.2397,-19.2261,4.8218,25.208
0.3472,0.7681,1.6167,9.4604,-19.2871,5.6152,25.307
0.333,0.7769,1.6162,10.498,-21.6064,4.4556,25.428
0.3364,0.7949,1.6201,11.5356,-24.4141,4.2114,25.554
0.3501,0.8276,1.6455,9.9487,-31.5552,2.6855,25.686
0.3608,0.8242,1.6538,8.1787,-33.8135,3.479,25.812
0.3618,0.7974,1.6523,5.7983,-35.5835,4.5776,26.005
0.3491,0.7573,1.6338,7.9956,-37.2314,5.249,26.115
0.3276,0.7471,1.6216,11.4136,-40.4053,4.3335,26.263
0.3184,0.7529,1.6128,14.3433,-46.0815,2.0142,26.455
0.3281,0.7842,1.6123,16.6626,-53.772,-1.5259,26.686
0.3657,0.8242,1.603,15.3809,-59.8755,-3.8452,26.922
0.4155,0.8613,1.5942,11.7188,-63.1714,-4.3945,27.131
0.479,0.8833,1.5825,7.0801,-62.1338,-3.3569,27.296
0.519,0.8813,1.5728,2.3193,-57.8003,-0.3662,27.4
0.499,0.8369,1.5542,-3.3569,-47.7295,4.7607,27.449
0.4463,0.8208,1.5576,-4.3335,-46.9971,4.5776,27.488
0.3916,0.8018,1.5605,-3.479,-51.6968,3.479,27.526
0.3618,0.7969,1.5645,-1.2207,-60.2417,2.6245,27.603
0.3667,0.7822,1.5728,1.6479,-71.8384,2.6855,27.729
0.3965,0.7783,1.5737,8.728,-85.2051,0.6104,27.96
0.459,0.8203,1.5679,6.8359,-96.9238,1.0376,28.202
0.5166,0.8237,1.5454,5.9814,-103.9429,2.6245,28.449
0.5586,0.8345,1.5254,7.7515,-107.1167,5.4321,28.724
0.5659,0.8257,1.5068,7.9956,-109.375,7.8735,29.004
0.5708,0.8164,1.4863,8.728,-109.375,9.3384,29.301
0.5679,0.811,1.4746,8.4839,-110.4736,9.9487,29.608
0.6108,0.8198,1.4517,7.4463,-114.8682,9.5825,29.927
0.6934,0.8516,1.4463,4.2725,-116.6382,5.9204,30.251
0.7852,0.8896,1.4502,0.4272,-114.502,1.9531,30.564
0.8579,0.8999,1.502,-8.7891,-102.6001,4.6387,30.839
0.8101,0.8623,1.5146,-12.5732,-97.5952,6.2256,31.196
0.7295,0.8135,1.5229,-14.5264,-97.229,5.0659,31.196
0.6577,0.7739,1.5024,-13.2446,-101.7456,1.0376,31.344
0.6279,0.7559,1.4722,-10.8643,-112.9761,-0.9155,31.86
0.6875,0.7539,1.4248,-8.3618,-125.3662,-0.8545,32.25
0.7925,0.7822,1.3994,-3.3569,-132.4463,-0.4272,32.745
0.9023,0.8076,1.3804,1.8311,-133.9111,-1.3428,33.327
0.9951,0.8433,1.3828,3.9062,-128.479,-0.5493,33.937
1.0342,0.8657,1.4033,1.2207,-119.5068,1.0986,34.497
1.0151,0.8452,1.4048,-0.6714,-110.0464,2.3804,35.008
0.9658,0.8281,1.3994,-0.6104,-102.7832,2.8076,35.508
0.9136,0.8208,1.3735,-1.709,-100.0366,2.1362,36.008
0.8877,0.8257,1.3438,-2.5635,-100.8301,0.9155,36.535
0.8975,0.8345,1.334,-3.6621,-105.6519,0.6714,37.106
0.9419,0.835,1.3315,-4.2725,-110.9009,0.9766,37.722
0.9795,0.8291,1.3369,-3.2959,-115.1123,1.1597,38.408
0.9814,0.8193,1.312,-3.9673,-125.1221,1.3428,39.172
0.9746,0.7974,1.2832,-4.0283,-129.8218,1.5869,40.891
0.9609,0.8086,1.2603,-3.7231,-134.9487,0.061,41.896
0.9585,0.8315,1.2285,-4.8828,-142.0288,-3.1128,43.039
1.0083,0.8506,1.2031,-5.127,-147.3999,-6.7749,44.335
